ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
84,Anthony Edwards,MIN,19,36,7,29,29.1,14.9,5.5,14.9,37.1,1.9,6.3,30.2,1.9,2.4,80.5,0.7,3.3,4,2.5,1.8,0.9,0.4,1.5,25.4,0,0,-5.5,94
85,Joe Harris,BKN,29,37,24,13,30.9,14.8,5.4,10.2,53,3.4,6.7,50.6,0.6,0.8,70,0.5,3,3.5,1.8,0.8,0.5,0.2,2.2,23.1,0,0,6.2,57.2
86,Goran Dragic,MIA,35,22,11,11,27.1,14.8,5.3,11.5,45.8,1.6,4.4,36.1,2.6,3.1,84.1,0.3,2.8,3.1,4.8,2.8,0.6,0.2,2.6,25.2,1,0,1.6,49
87,Clint Capela,ATL,27,32,13,19,29.7,14.7,6.5,11,58.9,0,0,0,1.7,3.1,55,5,9.2,14.2,0.9,1.4,0.8,2.2,2.3,40.5,24,1,2.5,48.5
88,Michael Porter Jr.,DEN,23,26,15,11,28.6,14.6,5.5,10.9,50.2,2.4,5.7,41.6,1.3,1.7,75.6,1.2,5.8,7,0.9,1.1,0.9,1.1,2.3,29.2,7,0,3.6,57.5
89,Lonzo Ball,NOP,23,33,14,19,31.8,14.5,5.3,12.4,42.8,3,7.8,38.7,0.9,1.2,77.5,0.6,3.5,4.2,5.1,2,1.3,0.5,2.2,30.7,1,0,1.4,44.2
90,Deandre Ayton,PHX,22,35,24,11,31.1,14.5,6.2,10.5,59.4,0.1,0.5,23.5,1.9,2.5,75,3.3,8.1,11.4,1.7,1.7,0.3,1.1,3.1,33.1,20,0,3,48
91,Thomas Bryant,WAS,23,10,2,8,27.1,14.3,5.9,9.1,64.8,0.9,2.1,42.9,1.6,2.4,66.7,1.8,4.3,6.1,1.5,1.1,0.4,0.8,3.1,26.4,1,0,-1.4,113.5
92,Kendrick Nunn,MIA,25,28,15,13,30,14.2,5.4,11.8,46.1,2.1,5.7,36.5,1.3,1.4,92.3,0.5,2.9,3.4,2.7,1.8,1.1,0.3,1.9,24.9,0,0,-1.4,105.8
93,Rudy Gobert,UTA,29,36,27,9,30.7,14.2,5.4,8.5,64.1,0,0,0,3.3,5.5,59.9,3.3,9.8,13.1,1.3,1.8,0.5,2.7,2.3,39.7,24,0,8.9,8.8
94,Keldon Johnson,SAS,21,29,17,12,29.1,14.1,5.2,11,47.2,1,3,32.6,2.7,3.5,78.2,1.6,5,6.7,2.2,1.4,0.8,0.5,2.3,27.7,5,0,-3.3,58.2
95,Marvin Bagley III,SAC,22,34,14,20,26.1,14.1,5.7,11.5,50,1,2.7,37,1.6,3,52.9,2.4,5.1,7.6,1,1.4,0.5,0.5,2.4,26.2,10,0,-3.5,69.2
96,Al Horford,BOS,35,24,10,14,28.2,14,5.8,13,44.2,2,5.5,35.6,0.6,0.8,77.8,1,5.7,6.7,3.5,1.1,0.9,0.9,1.8,31.4,1,0,-2.9,54.2
97,Carmelo Anthony,POR,37,34,20,14,25.6,13.8,4.9,11.8,41.3,1.8,4.6,38.7,2.3,2.7,83.9,0.6,2.8,3.3,1.5,1,0.9,0.8,2.1,24.1,0,0,-2.9,42.2
98,Shake Milton,PHI,24,28,21,7,25.1,13.8,4.8,10.9,44.1,1.1,3.5,31.3,3.1,3.5,88.7,0.6,1.5,2.1,3,1.5,0.6,0.3,2.3,22.1,0,0,1.5,57.8
99,Montrezl Harrell,LAL,27,37,24,13,24.1,13.8,5.6,9,62.6,0,0.2,0,2.5,3.3,75.6,2.4,4,6.4,1.1,1.1,0.6,0.7,2.1,26.1,4,0,1.9,54.2
100,Aaron Gordon,DEN,25,19,8,11,29.1,13.8,4.8,11.2,42.7,1.6,4.4,36.9,2.6,4.2,61.3,1.7,5.5,7.2,4.2,2.8,0.7,0.8,2,30.7,3,1,-2.1,54.5
101,OG Anunoby,TOR,23,23,11,12,33.4,13.8,5,10.3,47.9,2.1,5.4,39.5,1.7,2.3,75.5,1.4,4.3,5.7,1.7,1.7,1.6,0.7,2.8,28.5,1,0,2.8,45
102,Devonte' Graham,CHA,26,25,11,14,32.8,13.7,4.4,12.4,35.2,2.8,8.1,34.7,2.2,2.8,77.5,0.6,2.4,3,5.7,1.4,1,0,1.5,27.4,3,0,2.9,57.8
103,LaMarcus Aldridge,BKN,35,21,12,9,25.9,13.7,5.5,11.8,46.4,1.3,3.6,36,1.5,1.8,83.8,0.8,3.7,4.5,1.7,1,0.4,0.9,1.7,24.4,1,0,-2.8,50.8
104,Mikal Bridges,PHX,24,35,24,11,32.3,13.7,4.9,9.4,52.4,1.9,4.5,42,2,2.3,84.1,1.3,3.7,5.1,2.2,0.8,0.7,0.9,1.6,27.3,1,0,3.8,51.2
105,Chris Boucher,TOR,28,36,17,19,23.6,13.6,4.8,8.9,53.4,1.7,3.8,44.5,2.4,3.1,75.9,1.9,4.6,6.5,1,0.7,0.6,1.9,2.7,29.6,7,0,2.9,46.5
106,Josh Jackson,DET,24,32,9,23,24.9,13.5,4.8,11.3,42.5,1.3,4.4,29.1,2.6,3.8,69.4,1.1,3.3,4.4,1.9,2.3,0.9,0.9,2.9,24.7,1,0,-0.7,81.8
107,Derrick Rose,NYK,32,25,11,14,23.5,13.5,5,11.7,43,0.9,2.4,37.7,2.5,3,85.1,0.3,1.9,2.2,4.5,1.9,1.2,0.4,1.2,25.6,1,0,-0.2,42.8
